precio,expensas,metros,ambientes,banos,direccion,barrio
USD 99.000,$ 150.000 Expensas,40 m² tot.,2 amb.,1 baño,Arismendi al 2700,"Parque Chas, Capital Federal"
USD 1.549.000,$ 800.000 Expensas,243 m² tot.,4 amb.,3 baños,Av Lacroze al 1900,"Belgrano, Capital Federal"
USD 50.000,$ 11.300 Expensas,70 m² tot.,4 amb.,1 baño,Copello,"Villa Lugano, Capital Federal"
USD 420.000,$ 500.000 Expensas,87 m² tot.,3 amb.,2 baños,Olga Cossettini 1660,"Puerto Madero, Capital Federal"
USD 126.000,$ 250.000 Expensas,47 m² tot.,2 amb.,1 baño,Carlos Calvo al 3200,"Boedo, Capital Federal"
USD 2.900.000,,266 m² tot.,4 amb.,4 baños,Julieta Lanteri 1700,"Puerto Madero, Capital Federal"
USD 399.000,$ 360.000 Expensas,154 m² tot.,4 amb.,3 baños,Mendoza 5300,"Villa Urquiza, Capital Federal"
USD 135.000,,110 m² tot.,3 amb.,2 baños,AV. Caseros al 2000 1°,"Parque Patricios, Capital Federal"
USD 490.000,$ 423.000 Expensas,720 m² tot.,5 amb.,4 baños,Av. Nazca al 2400,"Villa del Parque, Capital Federal"
USD 750.000,$ 96.000 Expensas,116 m² tot.,3 amb.,1 baño,Juana Manso 700,"Puerto Madero, Capital Federal"
USD 175.000,$ 250.000 Expensas,41 m² tot.,2 amb.,1 baño,Costa Rica al 5400,"Palermo, Capital Federal"
USD 195.000,$ 155.000 Expensas,87 m² tot.,4 amb.,2 baños,AVENIDA OLAZABAL 2100. Entre Arcos y Cuba,"Belgrano, Capital Federal"
USD 149.500,$ 270.048 Expensas,91 m² tot.,3 amb.,1 baño,Larrea 800,"Recoleta, Capital Federal"
USD 210.000,$ 200.000 Expensas,74 m² tot.,3 amb.,1 baño,Suipacha al 1200,"Recoleta, Capital Federal"
USD 452.000,,136 m² tot.,3 amb.,2 baños,Malvinas Argentinas al 100,"Caballito, Capital Federal"
USD 109.000,$ 170.000 Expensas,46 m² tot.,2 amb.,1 baño,Araoz 2800,"Botánico, Palermo"
USD 740.000,$ 1 Expensas,166 m² tot.,4 amb.,3 baños,Av Lacroze al 1900 - 1404,"Belgrano, Capital Federal"
USD 128.000,,53 m² tot.,2 amb.,1 baño,Billinghurst 1300,"Recoleta, Capital Federal"
USD 196.560,,77 m² tot.,2 amb.,1 baño,Conesa 2652,"Belgrano, Capital Federal"
USD 129.000,$ 400.000 Expensas,48 m² tot.,2 amb.,1 baño,Marcelo t de Alvear  al 1600,"Recoleta, Capital Federal"
USD 495.000,$ 815.000 Expensas,253 m² tot.,3 amb.,2 baños,Lopez Vicente al 1600,"Recoleta, Capital Federal"
